conference,title,writer,year,citations,url,paper ID,snippet
ICASSP,A_multi-band_spectral_subtraction_method_for_enhancing_speech_corrupted_by_colored_noise.,"Kamath, P Loizou",2002,591,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.7.4102&rep=rep1&type=pdf,4586426366282045275,"The spectral subtraction method is a well-known noise reduction technique. Most implementations and variations of the basic technique advocate subtraction of the noise spectrum estimate over the entire speech spectrum. However, real world noise is mostly …"
ICASSP,Subpixel_motion_estimation_without_interpolation.," Chan, DT Vo, TQ Nguyen",2010,84,http://www.academia.edu/download/47627557/Subpixel_motion_estimation_without_inter20160729-24603-1x0rtbz.pdf,782299499776594408,"We propose a fast subpixel motion estimation method for motion deblurring, where conventional motion estimation algorithms used in video codings are too complex. The new algorithm is a combination of block matching and optical flow. It does not require any …"
ICASSP,Wav2Pix:_Speech-conditioned_Face_Generation_Using_Generative_Adversarial_Networks.,"Duarte, F Roldan, M Tubau, J Escur, S Pascual…",2019,22,http://openaccess.thecvf.com/content_CVPRW_2019/papers/Sight%20and%20Sound/Amanda_Cardoso_Duarte_WAV2PIX_Speech-conditioned_Face_Generation_using_Generative_Adversarial_Networks_CVPRW_2019_paper.pdf,6631412272148895624,"Audio and visual signals are the most common modalities used by humans to identify other humans and sense their emotional state. Features extracted from these two signals are often highly correlated, allowing us to imagine the visual appearance of a person just by listening …"
ICASSP,Evaluation_of_distance_based_amplitude_panning_for_spatial_audio.,"Kostadinov, JD Reiss, VM Mladenov",2010,43,https://www.researchgate.net/profile/Valeri_Mladenov/publication/220734162_Evaluation_of_Distance_Based_Amplitude_Panning_for_spatial_audio/links/0912f5003dea00b63c000000/Evaluation-of-Distance-Based-Amplitude-Panning-for-spatial-audio.pdf,13835568154313629386,"ABSTRACT Distance-Based Amplitude Panning (DBAP) has recently been proposed as a new technique for panning sound sources in two and three dimensional spaces spaces. In this paper, DBAP is compared with two established alternatives, Ambisonics and Vector …"
ICASSP,A_class_of_linear-phase_regular_biorthogonal_wavelets," Kim, R Ansari, AE Cetin",1992,80,http://kilyos.ee.bilkent.edu.tr/~cetin/kim.pdf,11279305121270315769,ABSTRACT A class of biorthogonal systems leading to linear-phase wavelets is presented. A notable feature of this structure is that the wavelets are derived from a. ﬁlter bank where the lowpass analysis ﬁlter is constrained to be a halfband ﬁlter. We derive FIR biorthogonal …
ICASSP,Semi-Supervised_Hyperspectral_Unmixing_via_the_Weighted_Lasso.,"Themelis, AA Rontogiannis, K Koutroumbas",2010,41,https://www.researchgate.net/profile/Athanasios_Rontogiannis/publication/220735116_Semi-Supervised_Hyperspectral_Unmixing_via_the_Weighted_Lasso/links/00b7d526e2fcab318a000000/Semi-Supervised-Hyperspectral-Unmixing-via-the-Weighted-Lasso.pdf,1358100842248845329,"In this paper a novel approach for semi-supervised hyperspectral unmixing is presented. First, it is shown that this problem inherently accepts a sparse solution. Then, based on this observation, an efficient ℓ1 regularized least squares algorithm is proposed, in which the …"
ICASSP,Robust_parsing_for_spoken_language_systems,Seneff,1992,107,http://www.cs.cmu.edu/afs/cs.cmu.edu/Web/People/rohitk/dialog-seminar/slu/seneff-00225940.pdf,1920777137149335395,"This paper describes a recent extension to the MIT ATIS (Air Travel Information Service) system, which allows it to answer a question when a. full linguistic analysis fails. This “robust” parsing capability was achieved through minor extensions of pre-existing …"
ICASSP,Sparse_signal_recovery_methods_for_variant_detection_in_next-generation_sequencing_data.,"Banuelos, R Almanza, L Adhikari, S Sindi, RF Marcia",2016,15,https://sigport.org/sites/default/files/ICASSP2016_2589.pdf,9255580416433839012,"Page 1. Large-scale sequencing studies often sequence populations of related individuals,
including father-mother-child trios. Since spontaneous variants are rare, individuals inherit
SVs from either a father or mother. We use a maximum likelihood approach that incorporates …"
ICASSP,Confidence_scoring_based_on_backward_language_models,"Duchateau, K Demuynck, P Wambacq",2002,30,https://www.esat.kuleuven.be/psi/spraak/cgi-bin/get_file.cgi?/duchato/icassp02/conf/conf.pdf&pdf&..,4546546945657251133,"In this paper we introduce the backward N-gram language model (LM) scores as a confidence measure in large vocabulary continuous speech recognition. Contrary to a forward N-gram LM, in which the probability of a word is dependent on the preceding words …"
ICASSP,Speech_and_music_classification_in_audio_documents,"Pinquier, C Sénac, R Andr",2002,42,https://www.researchgate.net/profile/Julien_Pinquier/publication/228548255_Speech_and_music_classification_in_audio_documents/links/0912f505c81b4cd5e1000000/Speech-and-music-classification-in-audio-documents.pdf,1627387112222049064,"To index efficiently the soundtrack of multimedia documents, it is necessary to extract elementary and homogeneous acoustic segments. In this paper, we explore such a prior partitioning which consists in detect the two basic components, which are speech and music …"
ICASSP,Hierarchical_Gaussian_Mixture_Model.,"Garcia, F Nielsen, R Nock",2010,25,https://www2.sonycsl.co.jp/person/nielsen/infogeo/pdf/Slides-ICASSP2010.pdf,4801683110962444736,"Page 1. Hierarchical Gaussian Mixture Model Vincent Garcia1, Frank Nielsen1 2, and Richard
Nock3 1 École Polytechnique (Paris, France) 2 Sony Computer Science Laboratories (Tokyo,
Japan) 3 UAG-CEREGMIA (Martinique, France) January 2010 … 
"
ICASSP,Linear_discriminant_analysis_for_improved_large_vocabulary_continuous_speech_recognition,Hae,1992,456,http://math.arizona.edu/~hzhang/math574m/Read/ldaFace.pdf,16547843527063910112,ABSTRACT interaction of Linear Discriminant Analyand a modeling approach using continuous mixture density HMMs is studied experimentally. The largest improvements in speech recognition accuracy could be obtained when the classes for the LDA transform …
