conference,title,writer,year,citations,url,paper ID,snippet
VLDB,Similarity_search_in_high_dimensions_via_hashing,"A Gionis, P Indyk, R Motwani",1999,3899,http://www.dblab.ntua.gr/~gtsat/collection/lsh/LSH-VLDB-gionis99.pdf,8819805256031800277,"The nearest-or near-neighbor query problems arise in a large variety of database applications, usually in the context of similarity searching. Of late, there has been increasing interest in building search/index structures for performing similarity search over high …"
VLDB,A_quantitative_analysis_and_performance_study_for_similarity-search_methods_in_high-dimensional_spaces,"R Weber, HJ Schek, S Blott",1998,2251,http://vldb.org/conf/1998/p194.pdf,5623307406251539980,"For similarity search in high-dimensional vector spaces (or 'HDVSs'), researchers have proposed a number of new methods (or adaptations of existing methods) based, in the main, on data-space partitioning. However, the performance of these methods generally degrades …"
VLDB,Generic_schema_matching_with_cupid,"J Madhavan, PA Bernstein, E Rahm",2001,2030,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/tr-2001-58.pdf,12400328878822275772,"Schema matching is a critical step in many applications, such as XML message mapping, data warehouse loading, and schema integration. In this paper, we investigate algorithms for generic schema matching, outside of any particular data model or application. We first …"
VLDB,STING:_A_statistical_information_grid_approach_to_spatial_data_mining,"W Wang, J Yang, R Muntz",1997,1956,http://suraj.lums.edu.pk/~cs536a04/handouts/STING.pdf,18399849071317195831,"Spatial data mining, ie, discovery of interesting characteristics and patterns that may implicitly exist in spatial databases, is a challenging task due to the huge amounts of spatial data and to the new conceptual nature of the problems which must account for spatial …"
VLDB,Sampling_large_databases_for_association_rules,H Toivonen,1996,1897,https://www.cin.ufpe.br/~jtalr/Mestrado/toiSample.pdf,1947417731565120283,"Discovery of association rules. is an important database mining problem. Current algorithms for finding association rules require several passes over the analyzed database, and obviously the role of I/O overhead is very significant for very large databases. We present …"
VLDB,Discovery_of_multiple-level_association_rules_from_large_databases,"J Han, Y Fu",1995,1649,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.39.8968&rep=rep1&type=pdf,10170241709649310064,"Previous studies on mining association rules nd rules at single concept level, however, mining association rules at multiple concept levels may lead to the discovery of more speci c and concrete knowledge from data. In this study, a top-down progressive deepening method …"
VLDB,Roadrunner:_Towards_automatic_data_extraction_from_large_web_sites,"V Crescenzi, G Mecca, P Merialdo",2001,1482,http://www.vldb.org/conf/2001/P109.pdf,2238350008592659688,"The paper investigates techniques for extracting data from HTML sites through the use of automatically generated wrappers. To automate the wrapper generation and the data extraction process, the paper develops a novel technique to compare HTML pages and …"
VLDB,SPRINT:_A_scalable_parallel_classifier_for_data_mining,"J Shafer, R Agrawal, M Mehta",1996,1392,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.40.2497&rep=rep1&type=pdf,6746036302712498834,"Classi cation is an important data mining problem. Although classi cation is a wellstudied problem, most of the current classication algorithms require that all or a portion of the the entire dataset remain permanently in memory. This limits their suitability for mining over …"
VLDB,Indexing_and_querying_XML_data_for_regular_path_expressions,"Q Li, B Moon",2001,1361,http://www.vldb.org/conf/2001/P361.pdf,18069358375787009501,"With the advent of XML as a standard for data representation and exchange on the Internet, storing and querying XML data becomes more and more important. Several XML query languages have been proposed, and the common feature of the languages is the use of …"
VLDB,The_transaction_concept:_Virtues_and_limitations,J Gray,1981,1341,https://www.hpl.hp.com/techreports/tandem/TR-81.3.pdf,15553426371650547409,"A traDsac: tion is a transformation of state which has the properties of atomicity (all or nothing), durability (effeets survive failures) and consistency (a correet transformation). The transaction concept is key to the structuring of data management applications. The concept …"
