conference,title,writer,year,citations,url,paper ID,snippet
APSIPA,On_Kernel_design_for_online_model_selection_by_Gaussian_multikernel_adaptive_filtering.,"O Toda, M Yukawa",2014,4,http://www.apsipa.org/proceedings_2014/Data/paper/1383.pdf,8606979440239967556,"In this paper, we highlight a design of Gaussian kernels for online model selection by the multikernel adaptive filtering approach. In the typical multikernel adaptive filtering, the maximum value that each kernel function can take is one. This means that, if one employs …"
APSIPA,Wavelet_packet_based_approach_for_image_retrieval_in_compressed_domains,"KO Cheng, NFB Law, WC Siu - 2011 - ira.lib.polyu.edu.hk",2011,3,http://ira.lib.polyu.edu.hk/handle/10397/4701,ted:W-UWS-vqjskJ:scholar.google.com/,"Images are often compressed to reduce storage. In order to avoid full decoding in image retrieval, features extracted directly from transformed data have been investigated. The popularity of JPEG and JPEG2000 motivates us to investigate a fast conversion scheme …"
APSIPA,An_8-channel_neural_recording_system_with_programmable_gain_and_bandwidth,"B Thanigaivelan, D Ball, J Wiles, TJ Hamilton - 2010 - espace.library.uq.edu.au",2010,1,https://espace.library.uq.edu.au/view/UQ:230657,8618353361997699573,In this paper we present the design and implementation of an 8-channel programmable neural recording system that can be used to study and record electrophysiological data of freely behaving animals. Each neural amplifier has two programmable gains in two …
APSIPA,Proportionate_affine_projection_algorithm_with_selective_projections_for_sparse_system_identification,"R Arablouei, K Dogançay, S Perreau - 2010 - researchgate.net",2010,25,https://www.researchgate.net/profile/Reza_Arablouei/publication/289791729_Proportionate_affine_projection_algorithm_with_selective_projections_for_sparse_system_identification/links/569395c208ae0f920dcea725.pdf,13855468052638806595,"Proportionate-type adaptive filtering algorithms are powerful tools specifically designed for sparse system identification. Among them, proportionate affine projection algorithms are well known for their capability in providing satisfactory convergence and tracking performance …"
APSIPA,Vertex_Shuffling:_a_Novel_information_hiding_on_3D_model,"WK Tai, CI Tan, CK Lin",9230,19,http://134.208.29.230/handle/987654321/7940,ted:aH0Ih2-KY3AJ:scholar.google.com/,"English | 正體中文 | 简体中文 | 全文筆數/總筆數 : 9263/18929 (49%) 造訪人次 : 1742783 線上人數 :
14. RC Version 6.0 © Powered By DSPACE, MIT. Enhanced by NTU Library IR team … 
"
APSIPA,GPU_acceleration_of_H._264/MPEG-4_AVC_software_video_encoder,"T Moriyoshi, F Takano, Y Nakamura",2011,16,http://www.apsipa.org/proceedings_2011/pdf/APSIPA303.pdf,14003153699165566296,"H. 264/MPEG-4 AVC encoding of high-resolution video is still a heavy task for today's high-end PCs. To accelerate the H. 264 software encoder, we utilize many-core GPU (Graphics Processing Unit). Because spatial and temporal data dependencies between macroblocks …"
APSIPA,Multiway_Array_Decomposition_Analysis_for_Classification_of_Alzheimer's_disease,"CFV Latchoumane, FB Vialatte…",2010,13,https://www.researchgate.net/profile/Charles-Francois_Vincent_Latchoumane/publication/289206429_Multiway_array_decomposition_analysis_for_classification_of_Alzheimer's_disease/links/58ef3134a6fdcc61cc1287e0/Multiway-array-decomposition-analysis-for-classification-of-Alzheimers-disease.pdf,14693265051100541388,"(AD) based on large patient population has been increased, generalized methods to detect diagnostic features are required for physiological datasets recorded in different sites (ie different hospitals). This work aimed at using the multiway array decomposition (MAD) …"
APSIPA,Real-time_stereo_view_generation_using_kinect_depth_camera,"S Lee, Y Ho",2011,1,http://www.apsipa.org/proceedings_2011/pdf/APSIPA148.pdf,12839434303450710788,"In this paper, we propose a stereo view generation algorithm using the Kinect depth camera that utilizes the infrared structured light. After we capture a color image and its corresponding depth map, we preprocess the depth map. The preprocessed depth map is …"
APSIPA,Overview_of_front-end_features_for_robust_speaker_recognition,"Q Jin, TF Zheng",2011,12,http://cslt.riit.tsinghua.edu.cn/~fzheng/PAPERS/2011/1110E_APSIPA_Overview-of-features-4-robust-spkr-recog_JQ(ZF).pdf,9097910179645187478,"This paper provides an overview of automatic speaker recognition technologies, with an emphasis on front-end features for robust speaker recognition. We categorize the frontend features into low-level features and high-level features. We discussed in detail several …"
APSIPA,Recent_developments_and_future_trends_in_visual_quality_assessment,"TJ Liu, W Lin, CCJ Kuo",2011,13,https://videoclarity.com/PDF/APSIPA329.pdf,9633091537925966339,"The visual quality assessment approaches and their classification are introduced. Recent developments on both image and video quality metrics, as well as several publicly available databases for both images and videos, are reviewed. Then, we conduct experiments on …"
