conference,title,writer,year,citations,url,paper ID,snippet
CVPR,Recognizing_human_action_in_time-sequential_images_using_hidden_markov_model.,"J Yamato, J Ohya, K Ishii ",1992,1980,http://www.ee.iisc.ac.in/people/faculty/soma.biswas/STIP_pdf/Yamato-HumanAction.pdf,"<re.Match object; span=(177, 203), match='amp;d=3927951005709982014&'>",This paper proposes a new human action recognition method based on a Hidden Markov Model (HMM). We do not adopt model-based top-down approach because our purpose is not to reconstruct a geometric representation of the human body but to recognize human …
CVPR,Analyzing_and_recognizing_walking_figures_in_XYT,"SA Niyogi, EH Adelson ",1994,849,https://ieeexplore.ieee.org/abstract/document/323868/,"<re.Match object; span=(177, 203), match='amp;d=5282995231863595324&'>","We describe a novel algorithm for gait analysis. A person walking frontoparallel to the image plane generates a characteristic"" braided"" pattern in a spatiotemporal (XYT) volume. Our algorithm detects this pattern, and fits it with a set of spatiotemporal snakes. The snakes can …"
CVPR,Stereo_from_uncalibrated_cameras.,"RI Hartley, R Gupta, T Chang ",1992,699,http://users.cecs.anu.edu.au/~hartley/Papers/cvpr92/final.pdf,"<re.Match object; span=(177, 204), match='amp;d=12273080730118443372&'>",This paper considers the problem of computing placement of points in 3 dimensional space given two uncalibrated perspective views. The main theorem shows that the placement of the points is determined only up to an arbitrary projective transformation of 3-space. Given …
CVPR,Probability_distributions_of_optical_flow.,"EP Simoncelli, EH Adelson, DJ Heeger ",1991,546,http://www.cns.nyu.edu/pub/eero/simoncelli-cvpr91.pdf,"<re.Match object; span=(177, 204), match='amp;d=12896969589904621386&'>",Gradient methods are widely used in the computation of optical flow. We discuss extensions of these methods which compute probability distributions of optical flow. The use of distributions allows representation of the uncertainties inherent in the optical flow …
CVPR,Analysis_and_solutions_of_the_three_point_perspective_pose_estimation_problem.,"RM Haralick, C Lee, K Ottenburg, M Nölle ",1991,455,https://www.researchgate.net/profile/Robert_Haralick/publication/3507707_Analysis_and_solutions_of_the_three_point_perspective_pose_estimation_problem/links/550fe2ba0cf2ac2905af5ab7/Analysis-and-solutions-of-the-three-point-perspective-pose-estimation-problem.pdf,"<re.Match object; span=(177, 204), match='amp;d=15280151519610456801&'>","In this paper, the major direct solutions to the three point perspective pose estimation problems are reviewed from a unified perspective beginning with the first solution which was published in 1841 by a German mathematician, continuing through the solutions published …"
CVPR,A_low-dimensional_representation_of_human_faces_for_arbitrary_lighting_conditions,PW Hallinan ,1994,436,https://ieeexplore.ieee.org/abstract/document/323941/,"<re.Match object; span=(575, 600), match='cites=449908219997182958&'>","When recognizing a fixed object from a fixed viewpoint, the dominant source of variation in image intensity is lighting changes. We propose a low-dimensional model for human faces that can both synthesize a face image when given lighting conditions and can estimate …"
CVPR,Multi-target_tracking_by_continuous_energy_minimization.,"A Andriyenko, K Schindler ",2011,355,http://www.cvlibs.net/projects/autonomous_vision_survey/literature/Andriyenko2011CVPR.pdf,"<re.Match object; span=(575, 601), match='cites=3851712417899221618&'>","We propose to formulate multi-target tracking as minimization of a continuous energy function. Other than a number of recent approaches we focus on designing an energy function that represents the problem as faithfully as possible, rather than one that is …"
CVPR,Robust_dynamic_motion_estimation_over_time.,"MJ Black, P Anandan ",1991,355,https://www.cs.yale.edu/publications/techreports/tr835.pdf,"<re.Match object; span=(575, 601), match='cites=9155391633062536737&'>",This paper presents a novel approach to incrementally estimating visual motion over a sequence of images. We start by realistically reformulating constraints on image motion to account for the possibility of multiple motions. This is achieved by exploiting the notions of …
CVPR,Filtered_channel_features_for_pedestrian_detection.,"S Zhang, R Benenson, B Schiele ",2015,363,https://www.cv-foundation.org/openaccess/content_cvpr_2015/app/1B_070.pdf,"<re.Match object; span=(575, 601), match='cites=2043372113368539904&'>",This paper starts from the observation that multiple top performing pedestrian detectors can be modelled by using an intermediate layer filtering low-level features in combination with a boosted decision forest. Based on this observation we propose a unifying framework and …
CVPR,On_reliable_curvature_estimation.,"PJ Flynn, AK Jain ",1989,302,https://pdfs.semanticscholar.org/bd23/5cd9d0f8881579e47a32190faf9a63390ed4.pdf,"<re.Match object; span=(575, 601), match='cites=1840247649301894669&'>",Surface curvature properties have been successfully employed for surface classification and 3D object recognition. A number of methods have been proposed in the computer vision literature for the estimation of curvature; some are based on the analytic computation of …
