conference,title,writer,year,citations,url,paper ID,snippet
Meeting of the Association for Computational Linguistics (ACL),Dynamic_pooling_and_unfolding_recursive_autoencoders_for_paraphrase_detection,"R Socher, EH Huang, J Pennin…",2011,936,https://papers.nips.cc/paper/4204-dynamic-pooling-and-unfolding-recursive-autoencoders-for-paraphrase-detection.pdf,16769505746668914526,"Paraphrase detection is the task of examining two sentences and determining whether they have the same meaning. In order to obtain high accuracy on this task, thorough syntactic and semantic analysis of the two statements is needed. We introduce a method for …"
Meeting of the Association for Computational Linguistics (ACL),Overview_of_the_5th_international_competition_on_plagiarism_detection,"M Potthast, M Hagen, T Gollub, M Tippmann…",2013,258,https://riunet.upv.es/handle/10251/46635,7652470490591035508,This paper overviews 18 plagiarism detectors that have been evaluated within the fifth international competition on plagiarism detection at PAN 2013. We report on their performances for the two tasks source retrieval and text alignment of external plagiarism …
Meeting of the Association for Computational Linguistics (ACL),Ukp:_Computing_semantic_textual_similarity_by_combining_multiple_content_similarity_measures,"D Bär, C Biemann, I Gurevych, T Zesch",2012,232,https://www.aclweb.org/anthology/S12-1059.pdf,9684203960932575277,"We present the UKP system which performed best in the Semantic Textual Similarity (STS) task at SemEval-2012 in two out of three metrics. It uses a simple log-linear regression model, trained on the training data, to combine multiple text similarity measures of varying …"
Meeting of the Association for Computational Linguistics (ACL),A_semantic_similarity_approach_to_paraphrase_detection,"S Fernando, M Stevenson",2008,236,https://www.researchgate.net/profile/Samuel_Fernando/publication/228616213_A_Semantic_Similarity_Approach_to_Paraphrase_Detection/links/02e7e5204b323983fb000000/A-Semantic-Similarity-Approach-to-Paraphrase-Detection.pdf,10635074592874387328,"This paper presents a novel approach to the problem of paraphrase identification. Although paraphrases often make use of synonymous or near synonymous terms, many previous approaches have either ignored or made limited use of information about similarities …"
Meeting of the Association for Computational Linguistics (ACL),Improving_the_reproducibility_of_PAN's_shared_tasks,"M Potthast, T Gollub, F Rangel, P Rosso…",2014,171,https://link.springer.com/chapter/10.1007/978-3-319-11382-1_22,13543855516300704578,"This paper reports on the PAN 2014 evaluation lab which hosts three shared tasks on plagiarism detection, author identification, and author profiling. To improve the reproducibility of shared tasks in general, and PAN's tasks in particular, the Webis group …"
Meeting of the Association for Computational Linguistics (ACL),Developing_a_corpus_of_plagiarised_short_answers,"P Clough, M Stevenson",2011,144,https://link.springer.com/article/10.1007/s10579-009-9112-1,3207058328536612718,"Plagiarism is widely acknowledged to be a significant and increasing problem for higher education institutions (McCabe 2005; Judge 2008). A wide range of solutions, including several commercial systems, have been proposed to assist the educator in the task of …"
Meeting of the Association for Computational Linguistics (ACL),Recursive_deep_learning_for_natural_language_processing_and_computer_vision,R Socher - 2014 - Citeseer,2014,111,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.646.5649&rep=rep1&type=pdf,13936301113704160244,"As the amount of unstructured text data that humanity produces overall and on the Internet grows, so does the need to intelligently process it and extract different types of knowledge from it. My research goal in this thesis is to develop learning models that can automatically …"
Meeting of the Association for Computational Linguistics (ACL),Paraphrase_acquisition_via_crowdsourcing_and_machine_learning,"S Burrows, M Potthast, B Stein",2013,78,https://dl.acm.org/doi/abs/10.1145/2483669.2483676,17898545919410697762,"To paraphrase means to rewrite content while preserving the original meaning. Paraphrasing is important in fields such as text reuse in journalism, anonymizing work, and improving the quality of customer-written reviews. This article contributes to paraphrase …"
Meeting of the Association for Computational Linguistics (ACL),The_METER_corpus:_a_corpus_for_analysing_journalistic_text_reuse,"R Gaizauskas, J Foster, Y Wilks, J Arundel…",2001,78,http://ir.shef.ac.uk/Cloughie/papers/cl2001.pdf,7263851666836246550,As a part of the METER (MEasuring TExt Reuse) project we have built a new type of comparable corpus consisting of annotated examples of related newspaper texts. Texts in the corpus were manually collected from two main sources: the British Press Association …
Meeting of the Association for Computational Linguistics (ACL),Recent_trends_in_digital_text_forensics_and_its_evaluation,"T Gollub, M Potthast, A Beyer, M Busse…",2013,67,https://link.springer.com/chapter/10.1007/978-3-642-40802-1_28,2206560399896036585,"This paper outlines the concepts and achievements of our evaluation lab on digital text forensics, PAN 13, which called for original research and development on plagiarism detection, author identification, and author profiling. We present a standardized evaluation …"
Meeting of the Association for Computational Linguistics (ACL),Crowdsourcing_interaction_logs_to_understand_text_reuse_from_the_web,"M Potthast, M Hagen, M Völske, B Stein",2013,55,https://www.aclweb.org/anthology/P13-1119.pdf,5631769363893330194,"We report on the construction of the Webis text reuse corpus 2012 for advanced research on text reuse. The corpus compiles manually written documents obtained from a completely controlled, yet representative environment that emulates the web. Each of the 297 …"
Meeting of the Association for Computational Linguistics (ACL),On_the_mono-and_cross-language_detection_of_text_reuse_and_plagiarism,A Barrón-Cedeño,2010,51,https://dl.acm.org/doi/abs/10.1145/1835449.1835687,3129087157763074699,"Plagiarism, the unacknowledged reuse of text, has increased in recent years due to the large amount of texts readily available. For instance, recent studies claim that nowadays a high rate of student reports include plagiarism, making manual plagiarism detection …"
Meeting of the Association for Computational Linguistics (ACL),A_computational_model_of_text_reuse_in_ancient_literary_texts,J Lee,2007,50,https://www.aclweb.org/anthology/P07-1060.pdf,12027742631200037948,"We propose a computational model of text reuse tailored for ancient literary texts, available to us often only in small and noisy samples. The model takes into account source alternation patterns, so as to be able to align even sentences with low surface similarity. We …"
Meeting of the Association for Computational Linguistics (ACL),"Samsung_Poland_NLP_Team_at_SemEval-2016_Task_1:_Necessity_for_diversity;_combining_recursive_autoencoders,_WordNet_and_ensemble_methods_to_measure …","B Rychalska, K Pakulska, K Chodorowska…",2016,47,https://www.aclweb.org/anthology/S16-1091.pdf,14170827217406469213,This paper describes our proposed solutions designed for a STS core track within the SemEval 2016 English Semantic Textual Similarity (STS) task. Our method of similarity detection combines recursive autoencoders with a WordNet award-penalty system that …
Meeting of the Association for Computational Linguistics (ACL),Something_borrowed:_sequence_alignment_and_the_identification_of_similar_passages_in_large_text_collections,"R Horton, M Olsen, G Roe - 2010 - openresearch-repository.anu.edu.au",2010,47,https://openresearch-repository.anu.edu.au/handle/1885/12104,1354681005281600804,"The following article describes a simple technique to identify lexically-similar passages in large collections of text using sequence alignment algorithms. Primarily used in the field of bioinformatics to identify similar segments of DNA in genome research, sequence alignment …"
Meeting of the Association for Computational Linguistics (ACL),Corpus_Stylistics_in_Principles_and_Practice:_A_Stylistic_Exploration_of_John_Fowles'_The_Magus,Y Ho - 2011 - books.google.com,2011,44,https://books.google.co.jp/books?hl=ja&lr=lang_ja|lang_en&id=IXC8uYN0yHgC&oi=fnd&pg=PP1&ots=qBcF24KFA_&sig=1SkjdDKuTAk3tRUyntqZIlJwV20,1343800190188020309,"In this book, Yufang Ho compares the text style difference between the two versions of John Fowles' The Magus, exemplifying the methodological principles and analytic practices of the corpus stylistic approach. The Magus was first published in 1966 and was revised and …"
Meeting of the Association for Computational Linguistics (ACL),Word_length_n-grams_for_text_re-use_detection,"A Barrón-Cedeño, C Basile, M Degli Esposti…",2010,42,https://link.springer.com/chapter/10.1007/978-3-642-12116-6_58,18270611101238439383,"The automatic detection of shared content in written documents–which includes text reuse and its unacknowledged commitment, plagiarism–has become an important problem in Information Retrieval. This task requires exhaustive comparison of texts in order to …"
Meeting of the Association for Computational Linguistics (ACL),CST_Bank:_A_Corpus_for_the_Study_of_Cross-document_Structural_Relationships.,"DR Radev, J Otterbacher, Z Zhang",2004,42,http://www.academia.edu/download/6454525/10.1.1.80.9295.pdf,14624449665317320096,"Clusters of multiple news stories related to the same topic exhibit a number of interesting properties. For example, when documents have been published at various points in time or by different authors or news agencies, one finds many instances of paraphrasing …"
Meeting of the Association for Computational Linguistics (ACL),Copyright_and_Piracy:_An_interdisciplinary_critique,"L Bently, J Davis, JC Ginsburg - 2010 - books.google.com",2010,40,https://books.google.co.jp/books?hl=ja&lr=lang_ja|lang_en&id=IqWoTkiveVEC&oi=fnd&pg=PR5&ots=iagG8TvkxM&sig=tPjVgYs4nc-iA8co9Qb9SkaHCYk,6065862804265903581,"An understanding of the Changing nature of the law and practice of copyright infringement is a task too big for lawyers alone; it requires additional inputs from economists, historians, technologists, sociologists, cultural theorsts and criminologists. Where is the boundary to be …"
Meeting of the Association for Computational Linguistics (ACL),Determining_and_characterizing_the_reused_text_for_plagiarism_detection,"F Sánchez-Vega, E Villatoro-Tello…",2013,39,https://www.sciencedirect.com/science/article/pii/S0957417412010755,10224502025831460001,An important task in plagiarism detection is determining and measuring similar text portions between a given pair of documents. One of the main difficulties of this task resides on the fact that reused text is commonly modified with the aim of covering or camouflaging the …
Meeting of the Association for Computational Linguistics (ACL),Unsupervised_Anomaly_Detection.,"D Guthrie, L Guthrie, B Allison, Y Wilks",2007,39,https://www.aaai.org/Papers/IJCAI/2007/IJCAI07-262.pdf,1080766005744178479,"This paper describes work on the detection of anomalous material in text. We show several variants of an automatic technique for identifying an'unusual'segment within a document, and consider texts which are unusual because of author, genre [Biber, 1998], topic or …"
