conference,title,writer,year,citations,url,paper ID,snippet
arxiv,"Sentiment_analysis:_Detecting_valence,_emotions,_and_other_affectual_states_from_text",SM Mohammad,2016,247,https://www.sciencedirect.com/science/article/pii/B9780081005088000096,6508685286338487216,"Sentiment analysis is the task of automatically determining from text the attitude, emotion, or some other affectual state of the author. This chapter summarizes the diverse landscape of tasks and applications associated with sentiment analysis. We outline key challenges …"
arxiv,A_primer_in_bertology:_What_we_know_about_how_bert_works,"A Rogers, O Kovaleva, A Rumshisky",2021,111,https://www.mitpressjournals.org/doi/abs/10.1162/tacl_a_00349,3385490103150709983,"Transformer-based models have pushed state of the art in many areas of NLP, but our understanding of what is behind their success is still limited. This paper is the first survey of over 150 studies of the popular BERT model. We review the current state of knowledge …"
arxiv,Spanbert:_Improving_pre-training_by_representing_and_predicting_spans,"M Joshi, D Chen, Y Liu, DS Weld, L Zettlemoyer…",2020,285,https://www.mitpressjournals.org/doi/abs/10.1162/tacl_a_00300,14676555484631167909,"We present SpanBERT, a pre-training method that is designed to better represent and predict spans of text. Our approach extends BERT by (1) masking contiguous random spans, rather than random tokens, and (2) training the span boundary representations to predict the …"
arxiv,Winogrande:_An_adversarial_winograd_schema_challenge_at_scale,"K Sakaguchi, R Le Bras, C Bhagavatula…",2020,91,https://ojs.aaai.org/index.php/AAAI/article/view/6399,1875989222215830843,"Abstract The Winograd Schema Challenge (WSC)(Levesque, Davis, and Morgenstern 2011), a benchmark for commonsense reasoning, is a set of 273 expert-crafted pronoun resolution problems originally designed to be unsolvable for statistical models that rely on …"
arxiv,Flaubert:_Unsupervised_language_model_pre-training_for_french,"H Le, L Vial, J Frej, V Segonne, M Coavoux…",2019,51,https://arxiv.org/abs/1912.05372,15138518675658617129,"Language models have become a key step to achieve state-of-the art results in many different Natural Language Processing (NLP) tasks. Leveraging the huge amount of unlabeled texts nowadays available, they provide an efficient way to pre-train continuous …"
arxiv,Transformers:_State-of-the-art_natural_language_processing,"T Wolf, J Chaumond, L Debut, V Sanh…",2020,47,https://www.aclweb.org/anthology/2020.emnlp-demos.6/,2577386398084523747,Recent progress in natural language processing has been driven by advances in both model architecture and model pretraining. Transformer architectures have facilitated building higher-capacity models and pretraining has made it possible to effectively utilize …
arxiv,Leveraging_pre-trained_checkpoints_for_sequence_generation_tasks,"S Rothe, S Narayan, A Severyn",2020,46,https://www.mitpressjournals.org/doi/abs/10.1162/tacl_a_00313,395817795281596927,"Unsupervised pre-training of large neural models has recently revolutionized Natural Language Processing. By warm-starting from the publicly released checkpoints, NLP practitioners have pushed the state-of-the-art on multiple benchmarks while saving …"
arxiv,wav2vec_2.0:_A_framework_for_self-supervised_learning_of_speech_representations,"A Baevski, H Zhou, A Mohamed, M Auli",2020,42,https://arxiv.org/abs/2006.11477,17012233978100358310,We show for the first time that learning powerful representations from speech audio alone followed by fine-tuning on transcribed speech can outperform the best semi-supervised methods while being conceptually simpler. wav2vec 2.0 masks the speech input in the latent …
arxiv,Tanda:_Transfer_and_adapt_pre-trained_transformer_models_for_answer_sentence_selection,"S Garg, T Vu, A Moschitti",2020,36,https://ojs.aaai.org/index.php/AAAI/article/view/6282,7306705043279451725,"We propose TandA, an effective technique for fine-tuning pre-trained Transformer models for natural language tasks. Specifically, we first transfer a pre-trained model into a model for a general task by fine-tuning it with a large and high-quality dataset. We then perform a …"
arxiv,Unicoder-VL:_A_Universal_Encoder_for_Vision_and_Language_by_Cross-Modal_Pre-Training.,"G Li, N Duan, Y Fang, M Gong, D Jiang, M Zhou",2020,95,,7789950959158388367,"Transformers-based models, such as BERT, have been one of the most successful deep learning models for NLP. Unfortunately, one of their core limitations is the quadratic dependency (mainly in terms of memory) on the sequence length due to their full attention …"
arxiv,Big_bird:_Transformers_for_longer_sequences,"M Zaheer, G Guruganesh, A Dubey, J Ainslie…",2020,34,https://arxiv.org/abs/2007.14062,11654897857579035055,"We propose to pre-train a unified language model for both autoencoding and partially autoregressive language modeling tasks using a novel training procedure, referred to as a pseudo-masked language model (PMLM). Given an input text with masked tokens, we rely …"
arxiv,Unilmv2:_Pseudo-masked_language_models_for_unified_language_model_pre-training,"H Bao, L Dong, F Wei, W Wang…",2020,33,http://proceedings.mlr.press/v119/bao20a.html,17252701423323416900,"In this paper, we survey the methods and concepts developed for the evaluation of dialogue systems. Evaluation, in and of itself, is a crucial part during the development process. Often, dialogue systems are evaluated by means of human evaluations and questionnaires …"
arxiv,Survey_on_evaluation_methods_for_dialogue_systems,"J Deriu, A Rodrigo, A Otegi, G Echegoyen…",2020,31,https://link.springer.com/article/10.1007/s10462-020-09866-x,15784416199641307079,"AI has achieved remarkable mastery over games such as Chess, Go, and Poker, and even Jeopardy, but the rich variety of standardized exams has remained a landmark challenge. Even in 2016, the best AI system achieved merely 59.3% on an 8th Grade science exam …"
arxiv,From'F'to'A'on_the_NY_Regents_Science_Exams:_An_Overview_of_the_Aristo_Project,"P Clark, O Etzioni, D Khashabi, T Khot…",2019,27,https://arxiv.org/abs/1909.01958,13522467789861122032,"Joint image-text embedding is the bedrock for most Vision-and-Language (V+ L) tasks, where multimodality inputs are simultaneously processed for joint visual and textual understanding. In this paper, we introduce UNITER, a UNiversal Image-TExt …"
arxiv,Unified_Vision-Language_Pre-Training_for_Image_Captioning_and_VQA.,"L Zhou, H Palangi, L Zhang, H Hu, JJ Corso, J Gao",2020,84,,13315977689015101870,"Language model pre-training has been shown to capture a surprising amount of world knowledge, crucial for NLP tasks such as question answering. However, this knowledge is stored implicitly in the parameters of a neural network, requiring ever-larger networks to …"
arxiv,Uniter:_Universal_image-text_representation_learning,"YC Chen, L Li, L Yu, A El Kholy, F Ahmed…",2020,24,https://link.springer.com/chapter/10.1007/978-3-030-58577-8_7,3224460637705754187,"Open-domain question answering (QA) involves many knowledge and reasoning challenges, but are successful QA models actually learning such knowledge when trained on benchmark QA tasks? We investigate this via several new diagnostic tasks probing …"
arxiv,Q-BERT:_Hessian_Based_Ultra_Low_Precision_Quantization_of_BERT.,"S Shen, Z Dong, J Ye, L Ma, Z Yao, A Gholami…",2020,75,,12994389486235501420,"Deep supervised learning has achieved great success in the last decade. However, its deficiencies of dependence on manual labels and vulnerability to attacks have driven people to explore a better solution. As an alternative, self-supervised learning attracts many …"
arxiv,K-BERT:_Enabling_Language_Representation_with_Knowledge_Graph.,"W Liu, P Zhou, Z Zhao, Z Wang, Q Ju, H Deng, P Wang",2020,71,,8387397906481896703,"Fine-tuning pretrained contextual word embedding models to supervised downstream tasks has become commonplace in natural language processing. This process, however, is often brittle: even with the same hyperparameter values, distinct random seeds can lead to …"
arxiv,PIQA:_Reasoning_about_Physical_Commonsense_in_Natural_Language.,"Y Bisk, R Zellers, R LeBras, J Gao, Y Choi",2020,38,,10110424163152713144,"Understanding temporal dynamics of COVID-19 symptoms could provide fine-grained resolution to guide clinical decision-making. Here, we use deep neural networks over an institution-wide platform for the augmented curation of clinical notes from 77,167 patients …"
arxiv,Realm:_Retrieval-augmented_language_model_pre-training,"K Guu, K Lee, Z Tung, P Pasupat…",2020,98,https://arxiv.org/abs/2002.08909,10545104437231716997,"Abstract Machine Reading Comprehension (MRC) for question answering (QA), which aims to answer a question given the relevant context passages, is an important way to test the ability of intelligence systems to understand human language. Multiple-Choice QA (MCQA) …"
arxiv,What_does_my_qa_model_know?_devising_controlled_probes_using_expert_knowledge,"K Richardson, A Sabharwal",2020,13,https://www.mitpressjournals.org/doi/abs/10.1162/tacl_a_00331,4419642556833878880,"We present an overview of the third edition of the Check-That! Lab at CLEF 2020. The lab featured five tasks in Arabic and English, and here we focus on the three English tasks. Task 1 challenged the participants to predict which tweets from a stream of tweets about COVID …"
arxiv,Self-supervised_learning:_Generative_or_contrastive,"X Liu, F Zhang, Z Hou, Z Wang, L Mian, J Zhang…",2020,13,https://arxiv.org/abs/2006.08218,6622103122828253066,DARPA and Allen AI have proposed a collection of datasets to encourage research in Question Answering domains where (commonsense) knowledge is expected to play an important role. Recent language models such as BERT and GPT that have been pre-trained …
