conference,title,writer,year,citations,url,paper ID,snippet
VLDB,STING:_A_statistical_information_grid_approach_to_spatial_data_mining,"Wang, J Yang, R Muntz",1997,1956,http://suraj.lums.edu.pk/~cs536a04/handouts/STING.pdf,18399849071317195831,"… Potential distribution types are: normal, uniform, exponential, and so on. The value NONE
is assigned if the distribution type is unknown … set before the hierarchical structure is built),
then we set dist as NONE; otherwise, we keep the original type … 
"
VLDB,Finding_intensional_knowledge_of_distance-based_outliers," Knorr, RT Ng",1999,662,http://www.academia.edu/download/45215609/Finding_Intensional_Knowledge_of_Distanc20160429-4547-dz5g0r.pdf,16198633439049355368,"… Abstract Existing studies on outliers focus only on the identi cation aspect; none
provides any inten- sional knowledge of the outliers|by which we mean a description
or an explanation of why an identi ed outlier is exceptional … 
"
VLDB,The_transaction_concept:_Virtues_and_limitations,Gray,1981,1341,https://www.hpl.hp.com/techreports/tandem/TR-81.3.pdf,15553426371650547409,"… Consisteney: the transaction must obey legal protocols. Atomicity: it either happeus or it does
not; either all are bound by the contract or none are. Durability: once a transaction is committed …
or none of the effects of the transaction survive and the transaction is said to abort … 
"
VLDB,Distinct_sampling_for_highly-accurate_answers_to_distinct_values_queries_and_event_reports, Gibbons,2001,283,http://www.vldb.org/conf/2001/P541.pdf,18208159645671603334,"… matching the template. dence), and supported by error guarantees. Unfortunately,
none of the previous work in approximate query answering provides fast, provably
good estimates for common distinct values queries. The most well … 
"
VLDB,An_object_data_model_with_roles,"Albano, R Bergamini, G Ghelli, R Orsini",1993,298,https://www.researchgate.net/profile/Giorgio_Ghelli/publication/225035699_Abstract_An_Object_Data_Model_with_Roles/links/09e415098f985afa7d000000.pdf,12145157181436997683,"… type). The basic types are Bool. String, Int, Real, Any, None, and Null. Each … types.
The instances of basic types are all disjoint. with a notable exception: the value
unknown (of type None), whichbelongs to any type whatsoever. A … 
"
VLDB,REHIST:_Relative_error_histogram_construction_algorithms,"Guha, K Shim, J Woo",2004,119,https://books.google.co.jp/books?hl=ja&lr=lang_ja|lang_en&id=R780l9ETyw8C&oi=fnd&pg=PA300&dq=None+source:VLDB&ots=XJC2OUzX2h&sig=gOP2GOkW80Aw1KrcsA0ovyKxFY4,5374799679724850517,"… None of these schemes provide satis- factory guarantees–and we provide evidence that the
difficulty may lie in the choice of wavelets as the representation scheme. In this paper, we
consider histogram construc- tion for the known relative error measures … 
"
VLDB,Mining_frequent_itemsets_using_support_constraints,"Wang, Y He, J Han",2000,185,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.37.5880&rep=rep1&type=pdf,13524932932340270290,"… Consider what happens if the minimum support of fcoffee;sugar;teag is 2% and the minimum
support of fcoffee;teag, fsugar; teag, fcoffee;sugarg is 5%: it is possible that fcoffee;sugar;teag
is frequent with respect to its minimum support, but none of fcoffee;teag, fsugar; teag … 
"
VLDB,User-adaptive_exploration_of_multidimensional_data,Sarawagi,2000,159,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.58.2468&rep=rep1&type=pdf,10249347342467815792,"… There are local store managers who are very familiar with the details of just one store; top
executives who know top-level trends but none of the details and recent hire analysts who know
nothing about the data but need to subsequently understand a lot of it … 
"
VLDB,Mining_multi-dimensional_constrained_gradients_in_data_cubes,"Dong, J Han, J Lam, J Pei, K Wang",2001,84,http://www.vldb.org/conf/2001/P321.pdf,3554644693947933093,"… If the gradient measure is an anti-monotonic function, one can explore the following property:
if the measure m of a cell c is no greater than τ, none of c's descendants can have the measure
m greater than τ; and if the measure m of a cell c is no less than τ, none of c's ancestor … 
"
VLDB,Cache-conscious_concurrency_control_of_main-memory_indexes_on_shared-memory_multiprocessor_systems," Cha, S Hwang, K Kim, K Kwon",2001,76,http://www.vldb.org/conf/2001/P181.pdf,18408797639689712404,"… However, none of these indexes took account of concurrency control, which is crucial for running
the real-world main memory database applications involving index updates and taking advantage
of the off-the-shelf multiprocessor systems for scaling up the performance of such … 
"
VLDB,"Distributed_Concurrency_Control_Performance:_A_Study_of_Algorithms,_Distribution,_and_Replication."," Carey, M Livny",1988,155,https://books.google.co.jp/books?hl=ja&lr=lang_ja|lang_en&id=RtrSEU9HEX8C&oi=fnd&pg=PA13&dq=None+source:VLDB&ots=t-K9Ust_ch&sig=4cZvpokX6OA_OkMBHMBWY9EjZyg,10020010791350034184,"… We have implemented a total of five concurrency con- trol managers, including four
for the concurrency control algo- rithms described in Section 2 and one that we will
refer to as NONE. NONE has a message-passing structure … 
"
VLDB,Approximating_aggregate_queries_about_web_pages_via_random_walks,Ba,2000,165,http://nike.psu.edu/classes/ist501/latest/ref/random-walk-vldb-2000.pdf,8659677008761425862,"… (The connectedness property ensures that the random walk has a limiting distribution, and
undirectedness and regularity guarantee that this distribution is uni- form.) Unfortunately the
natural web graph W initially meets none of these three conditions, but we can mod- ify it to … 
"
VLDB,Improved_unnesting_algorithms_for_join_aggregate_SQL_queries,Muralikrishna,1992,173,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.115.5921&rep=rep1&type=pdf,5579375678435469582,"… IT EMP& 1 f Icount] None of the fi'S in the above table are equal to 1000 or 2000. Notice
that in this example, for every c value we have generated all possible f values, and hence
the predicate (Rf = TEMPz.f) in Query 12 will always be satisfied … 
"
VLDB,Queries_independent_of_updates," Levy, Y Sagiv",1993,273,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.96.6183&rep=rep1&type=pdf,4503299026297532456,"… CA Tdriver(X) A A < 18 or the conjunction C A ydriver(Z) A B < 18 is satisfiable. Since none of
the above is satisfiable, the algorithm would conclude that the query is independent of the update.
Now consider the following update program 142(X, Y, A) :- inCar(X, Y, A), ldriver(X) … 
"
VLDB,Atomicity_versus_anonymity:_Distributed_transactions_for_electronic_commerce," Tygar, A Gupta, O Shmueli, J Widom",1998,77,http://people.eecs.berkeley.edu/~tygar/papers/Atomicity_vs_anonymity.pdf,4334255469678978514,"… Particular notable in this paper are the properties of atomicity and anonymity. 2.1.
Atomicity Atomicity allows us to logically link multiple operations so that either all of
them are executed or none of them are. For example, in transaction … 
"
VLDB,Mining_Approximate_Top-K_Subspace_Anomalies_in_Multi-Dimensional_Time-Series_Data.,"Li, J Han",2007,61,http://www.datascienceassn.org/sites/default/files/Mining%20Approximate%20Top-K%20Subspace%20Anomalies%20in%20Multi-Dimensional%20Time-Series%20Data.pdf,5411690348631421957,"… An example is shown in Figure 2. The “All” or apex cuboid holds a single cell where all its values
among (a1, a2,...,an) are ∗. On the other extreme, the base cuboid at the top holds cells where
none of its (a1, a2,...,an) values is ∗. ABC A B C AB All BC AC … 
"
VLDB,"CORAL:_Control,_relations_and_logic","Ramakrishnan, D Srivastava, S Sudarshan",1992,262,https://www.researchgate.net/profile/Divesh_Srivastava2/publication/2292288_CORAL---Control_Relations_and_Logic/links/55edd51d08aef559dc437c57/CORAL---Control-Relations-and-Logic.pdf,8401777912385966891,"… purpose DBPL. CORAL supports tuples with variables (non- ground terms). While
Prolog systems and some pro- duction rule systems support non-ground terms,
none of the deductive database systems do so. This facility is … 
"
VLDB,EIRENE:_Interactive_design_and_refinement_of_schema_mappings_via_data_examples,"Alexe, B Cate, PG Kolaitis, WC Tan",2011,43,https://dl.acm.org/doi/abs/10.14778/3402755.3402784,14585914133632601469,"… 10.00. I1 J1 … Data Examples Fitting GLAV schema mapping or report “none exists” Ik Jk … Step
2 (User modifies existing data example (a)): Patient(x,y,z,u) ! Doctor(x,v) "" #w,w' (History(x,z,u,
w) ! Physician(w,v,w')) Step 3 (User adds another data example (b)): None exists … 
"
